Game Name,Release Date,Price,Developer,PSN Stars,NUMBER OF RATINGS,VR Requiredments
100ft Robot Golf,"Sep 27, 2017",$9.99,NO GOBLIN LLC,3.5,61,N/A
18 Floors,"Jul 3, 2018",$14.99,WINKING SKYWALKER ENTERTAINMENT LIMITED,3.0,60,N/A
Angry Birds VR: Isle of Pigs,"Mar 26, 2019",$14.99,RESOLUTION GAMES,3.5,25,N/A
Fated: The Silent Oath,"Mar 28, 2017",$9.99,FRIMA STUDIO,4.0,165,N/A
Fate/Grand Order VR feat.Mash Kyrielight,"Feb 26, 2019",Free,Aniplex Inc.,4.5,295,N/A
FEAR OF BUGS -The Fear Experience-,"Feb 7, 2019",$12.99,GOODVISION,2.5,3,N/A
Firewall Zero Hour,"Aug 28, 2018",$39.99,Sony Interactive Entertainment,4.5,1038,N/A
Fishing Master,"Oct 24, 2017",$19.99,Snowball Games,4.0,60,N/A
Flipy&aposs Tesla! Let&aposs invent the future (Full Game),"Feb 26, 2018",$14.99,MEDIAPRODUCCION S.L.,3.0,3,N/A
Floor Plan,"Mar 20, 2018",$5.99,"Turbo Button, Inc",4.5,121,N/A
FOOTBALL NATION VR AND SPORTS BAR VR BUNDLE,"Oct 16, 2018",$34.99,Cherry Pop Games,5.0,4,N/A
Football Nation VR Tournament 2018,"Jun 7, 2018",$9.99,Cherry Pop Games,3.5,25,N/A
Fruit Ninja VR,"Dec 20, 2016",$14.99,Halfbrick Studios Pty Ltd.,4.0,364,N/A
Animal Force,"Jul 10, 2018",$15.99,Oasis Games Limited,4.5,4,N/A
Gary the Gull,"Nov 22, 2016",Free,"Limitless Sky Squadron, LLC",3.5,638,N/A
Ghost Giant,"Apr 16, 2019",$24.99,Zoink AB,5.0,17,N/A
Ghosts In The Toybox: Chapter 1,"Nov 6, 2017",$14.99,VIEWPOINT GAMES LTD,3.5,10,N/A
GNOG,"May 2, 2017",$9.99,KO-OP MODE INC.,4.5,97,N/A
Gran Turismo Sport,"Oct 17, 2017",$19.99,Sony Interactive Entertainment,4.0,6109,N/A
Gun Club VR,"Dec 18, 2018",$24.99,NextGen Reality Pty. Ltd t/a The Binary Mill,4.5,143,N/A
GUNGRAVE VR,"Dec 11, 2018",$24.99,Marvelous USA (XSEED),3.5,7,N/A
GUNGRAVE VR U.N,"Dec 11, 2018",$9.99,Marvelous USA (XSEED),4.0,1,N/A
Gunjack,"Oct 13, 2016",$4.99,CCP Games,4.0,415,N/A
Guns&aposn&aposStories: Bulletproof VR,"Dec 7, 2018",$19.99,MIROWIN LLC,3.5,25,N/A
Apex Construct,"Feb 20, 2018",$29.99,FAST TRAVEL GAMES AB,4.0,112,N/A
Happy Drummer,"Feb 6, 2018",$9.99,Shanghai Lusion Computer Software Co. Ltd.,3.5,49,N/A
Harmonix Music VR,"Oct 10, 2016",$14.99,"Harmonix Music Systems, Inc",4.0,232,N/A
Hatsune Miku: Project DIVA X,"Aug 30, 2016",$29.99,"SEGA of America, Inc.",4.5,518,N/A
Hatsune Miku: VR Future Live,"Oct 13, 2016",Free,"SEGA of America, Inc.",4.0,1337,N/A
Headmaster,"Oct 13, 2016",$19.99,Frame Interactive Studio LLC,4.5,234,N/A
Heavy Fire: Red Shadow,"Oct 16, 2018",$19.99,Mastiff LLC,3.0,32,N/A
Here They Lie,"Oct 13, 2016",$19.99,Sony Interactive Entertainment,4.0,2241,N/A
HeroCade,"Apr 18, 2017",$14.99,"Lucid Sight, Inc.",3.5,138,N/A
Heroes of The Seven Seas ,"Jul 25, 2017",$6.99,Time of Virtual Reality,3.0,61,N/A
Hex Tunnel,"Feb 27, 2018",$4.99,Owlgorithm LLC,3.0,19,N/A
Apocalypse Rider,"Sep 4, 2018",$4.99,VRMonkey,3.0,18,N/A
HoloBall,"Nov 22, 2016",$14.99,"TREEFORTRESS, INC.",4.5,189,N/A
HOMESTAR VR for PlayStationVR,"Jun 28, 2018",$9.99,The Pocket Company.,3.5,22,N/A
Home Sweet Home,"Oct 16, 2018",$29.99,Mastiff LLC,4.5,63,N/A
Honor and Duty: Arcade Edition,"Nov 1, 2016",$6.99,Strange Games Studios,3.5,275,N/A
Honor and Duty: D-Day,"Feb 26, 2019",$9.99,Strange Games Studios,4.5,57,N/A
Hopalong: The Badlands,"Jul 17, 2018",$24.99,"From the Future, LLC",4.5,13,N/A
How We Soar,"Nov 29, 2016",$19.99,Penny Black Studios Ltd,4.0,51,N/A
Hustle Kings VR,"Oct 10, 2016",$19.99,Sony Interactive Entertainment,2.5,49,N/A
I Expect You To Die,"Dec 13, 2016",$24.99,Schell Games LLC,4.5,707,N/A
Immortal Legacy: The Jade Cipher,"Apr 16, 2019",$19.99,Sony Interactive Entertainment,5.0,13,N/A
Apollo 11 VR,"Oct 10, 2017",$11.99,Immersive VR Education Ltd.,4.0,344,N/A
In Death,"Nov 27, 2018",$29.99,SOLFAR STUDIOS EHF,5.0,62,N/A
Infinite Minigolf,"Jul 25, 2017",$14.99,Zen Studios,4.0,169,N/A
Intruders: Hide and Seek,"Feb 13, 2019",$19.99,DAEDALIC ENTERTAINMENT GMBH,4.5,14,N/A
Island Time VR,"Apr 3, 2018",$14.99,Project Flight School LLC dba Flight School,3.5,89,N/A
Job Simulator,"Oct 13, 2016",$19.99,"OWLCHEMY LABS, INC.",4.5,2222,N/A
Joshua Bell VR Experience,"Feb 14, 2017",Free,Sony Interactive Entertainment,4.5,421,N/A
Jupiter & Mars,"Apr 22, 2019",$24.99,Tigertron,5.0,2,N/A
Justice League VR: The Complete Experience,"Dec 5, 2017",$9.99,Warner Bros. Interactive,3.0,91,N/A
Just In Time Incorporated,"Apr 24, 2018",$14.99,"SECOND WIND INTERACTIVE, LLC",4.0,137,N/A
Keep Talking and Nobody Explodes,"Oct 13, 2016",$14.99,"STEEL CRATE GAMES, INC.",4.5,418,N/A
Apollo Titanic Bundle,"Mar 28, 2019",$22.99,Immersive VR Education Ltd.,4.0,5,N/A
Killing Floor: Incursion,"May 1, 2018",$19.99,Tripwire Interactive,4.5,451,N/A
KINGDOM HEARTS VR Experience,"Feb 28, 2019",Free,SQUARE ENIX CO. LTD.,4.0,572,N/A
Kingdom of Blades,"Jan 17, 2019",$9.99,DeerVR,3.0,8,N/A
Knockout League,"Feb 23, 2018",$29.99,Vive Studios,4.5,256,N/A
Kona VR Bundle,"Jun 19, 2018",$19.99,Ravenscourt,3.5,13,N/A
Konrad the Kitten,"Feb 23, 2018",$14.99,FusionPlay,4.5,11,N/A
Korix,"Mar 28, 2017",$19.99,StellarVR Limited,4.5,105,N/A
League of War: VR Arena,"Nov 7, 2017",$19.99,MUNKYFUN INC.,4.0,48,N/A
Leave the Nest,"Mar 14, 2017",$12.99,Kaio Interactive LLC,3.0,9,N/A
LEGENDS OF CATALONIA: The Land of Barcelona,"Nov 2, 2018",Free,THE GREYSKULL COMPANY,3.5,203,N/A
Arca&aposs Path VR,"Dec 4, 2018",$19.99,Rebellion,3.5,3,N/A
Lethal VR,"Dec 20, 2016",$14.99,Team17 Software Ltd.,3.5,200,N/A
Light Tracer,"Sep 26, 2017",$14.99,Oasis Games Limited,4.0,51,N/A
Loading Human: Chapter 1,"Oct 13, 2016",$39.99,Maximum Games,3.5,85,N/A
Lunar Stone: Origin of Blood,"Mar 21, 2018",$9.99,"Gamepoch, Inc.",2.5,17,N/A
Manifest 99,"Sep 12, 2017",$5.99,Project Flight School LLC dba Flight School,4.0,90,N/A
Megadimension Neptunia VIIR,"May 8, 2018",$59.99,Idea Factory International,5.0,159,N/A
MEGALITH,"Jan 8, 2019",$29.99,"Disruptive Games, INC",4.5,43,N/A
Megaton Rainfall,"Oct 17, 2017",$15.99,"Pentadimensional Games, SL",4.0,610,N/A
Mervils: A VR Adventure,"Feb 21, 2017",$19.99,Vitruvius Technologies Inc.,4.0,173,N/A
Mind Labyrinth VR Dreams,"Oct 23, 2018",$19.99,Oxygene s.r.l.,3.5,42,N/A
Archangel,"Jul 18, 2017",$29.99,Skydance Interactive LLC,4.0,331,N/A
MLB Home Run Derby VR,"Apr 26, 2018",$19.99,MLB.com,4.0,43,N/A
MONSTER OF THE DEEP: FINAL FANTASY XV,"Nov 21, 2017",$29.99,SQUARE ENIX CO. LTD.,4.0,140,N/A
Moonshot Galaxy,"May 9, 2017",$9.99,Big Fish Games,4.0,29,N/A
Mortal Blitz,"Apr 4, 2017",$19.99,SKONEC Entertainment,4.5,478,N/A
Moss,"Feb 27, 2018",$29.99,"Polyarc, Inc.",5.0,1449,N/A
Moss + Soundtrack Bundle,"Aug 3, 2018",$34.99,"Polyarc, Inc.",5.0,8,N/A
Moto Racer 4,"Jan 24, 2017",$13.99,ANUMAN INTERACTIVE,3.0,86,N/A
NBA 2KVR Experience,"Nov 22, 2016",$14.99,2K,3.0,90,N/A
Nebulous,"Aug 30, 2016",$14.99,Namazu Studios,4.0,10,N/A
Neonwall,"Sep 17, 2018",$9.99,JanduSoft S.L.,3.5,7,N/A
Arizona Sunshine,"Jul 5, 2017",$39.99,Vertigo Games B.V,4.0,1089,N/A
Neptune Flux,"Aug 8, 2017",$7.99,ZOXIDE GAMES ,3.0,47,N/A
Neverout,"Oct 23, 2018",$7.99,Gamedust Sp. z o.o.,4.0,21,N/A
No Heroes Allowed! VR,"Oct 17, 2017",$29.99,Sony Interactive Entertainment,5.0,42,N/A
O! My Genesis VR,"Nov 4, 2016",$2.99,XPEC Entertainment Inc.,3.5,234,N/A
ONE PIECE Grand Cruise,"May 22, 2018",$9.99,BANDAI NAMCO Entertainment America Inc.,4.0,77,N/A
Operation Warcade,"Apr 11, 2018",$19.99,Ivanovich Games SL,4.5,80,N/A
Out of Ammo,"Jan 30, 2018",$14.99,Zen Studios,3.0,131,N/A
Paper Dolls,"Oct 30, 2018",$16.99,WINKING SKYWALKER ENTERTAINMENT LIMITED,3.5,24,N/A
Paranormal Activity: The Lost Soul,"Aug 15, 2017",$29.99,"VRWERX, LLC",4.0,353,N/A
Perfect,"Dec 13, 2016",$9.99,NDREAMS LTD,3.0,231,N/A
ARK Park,"Mar 22, 2018",$49.99,"Snail Games USA, Inc.",2.5,163,N/A
Persona 3: Dancing in Moonlight,"Dec 4, 2018",$59.99,"SEGA of America, Inc.",5.0,74,N/A
Persona 5: Dancing in Starlight,"Dec 4, 2018",$59.99,"SEGA of America, Inc.",5.0,105,N/A
Picture Party VR,"Dec 5, 2018",$9.99,FORCE FIELD ENTERTAINMENT,3.0,2,N/A
Pierhead Arcade,"Jan 30, 2018",$14.99,Archiact Interactive Ltd,4.0,80,N/A
Pinball FX2 VR,"Nov 29, 2016",$14.99,Zen Studios,4.5,278,N/A
Pirate Flight (VR),"May 1, 2018",$14.99,Andreas von Lepel,3.0,14,N/A
Pixel Gear,"Oct 20, 2016",$10.99,Oasis Games Limited,4.0,254,N/A
PixelJunk VR Dead Hungry,"Nov 7, 2017",$7.99,Q-GAMES LTD.,4.5,46,N/A
Pixel Ripped 1989,"Jul 31, 2018",$24.99,"Arvore Immersive Experiences, LLC",4.5,184,N/A
PlayStation VR Demo Disc,"Oct 10, 2016",Free,Sony Interactive Entertainment,4.5,1178,N/A
2MD: VR Football Head 2 Head Edition,"May 8, 2018",$12.99,"Truant Pixel, LLC",4.5,95,N/A
ASTRO BOT Rescue Mission,"Oct 2, 2018",$39.99,Sony Interactive Entertainment,5.0,873,N/A
PlayStation VR Demo Disc 2,"Nov 8, 2017",Free,Sony Interactive Entertainment,4.5,994,N/A
PlayStation VR Demo Disc 3,"Jan 16, 2019",Free,Sony Interactive Entertainment,4.5,337,N/A
PlayStation VR Worlds,"Oct 10, 2016",$14.99,Sony Interactive Entertainment,4.5,686,N/A
Polybius,"May 9, 2017",$15.49,Llamasoft Ltd,5.0,237,N/A
Pop-Up Pilgrims,"Feb 13, 2018",$14.99,Dakko Dakko Ltd,4.5,5,N/A
Preta: Vendetta Rising,"Mar 29, 2018",$19.99,ILLION Corp.,4.5,81,N/A
Prey: Typhon Hunter,"Dec 11, 2018",Free,Bethesda Softworks,5.0,58,N/A
Prison Boss VR,"Dec 4, 2018",$19.99,Trebuchet Studio Inc.,4.5,29,N/A
Proton Pulse Plus,"Nov 22, 2016",$9.99,"ZEROTRANSFORM, LLC",4.0,40,N/A
Psychonauts In The Rhombus Of Ruin,"Feb 21, 2017",$19.99,Double Fine Productions,4.5,358,N/A
ATV Drift & Tricks Definitive Edition,"Nov 14, 2017",$9.99,ANUMAN INTERACTIVE,2.5,29,N/A
QuiVr,"Apr 16, 2019",$24.99,"The Munky, LLC",4.0,1,N/A
Quiz Night Tonight!,"May 2, 2017",$14.99,Mardonpol Inc,2.5,31,N/A
RACE THE SUN ,"Oct 21, 2014",$9.99,FLIPPFLY,4.0,5642,N/A
Racket Fury: Table Tennis,"Oct 2, 2018",$19.99,Cmoar Studio,4.5,48,N/A
Radial-G : Racing Revolved,"Oct 10, 2017",$14.99,Tammeka,4.0,41,N/A
Rage Room,"Feb 4, 2019",$29.99,Lockem Reality Inc.,3.0,55,N/A
Ranch Planet,"Jun 15, 2018",$6.99,"Gamepoch, Inc.",2.0,7,N/A
Rangi,"Mar 6, 2018",$9.99,Digigo Ireland Limited,4.5,7,N/A
Raw Data,"Oct 10, 2017",$39.99,"Survios, Inc.",4.5,224,N/A
Rec Room,"Nov 21, 2017",Free,Against Gravity Corp.,4.0,10365,N/A
Audio Beats,"Mar 20, 2018",$9.99,"Gamepoch, Inc.",3.0,43,N/A
Red Matter,"Dec 11, 2018",$24.99,Vertical Robot S.L.,5.0,38,N/A
RESIDENT EVIL 7 biohazard,"Jan 24, 2017",$29.99,"Capcom U.S.A., Inc.",4.5,6316,N/A
Rez Infinite,"Oct 13, 2016",$29.99,Enhance Games,5.0,669,N/A
Richie&aposs Plank Experience,"Dec 12, 2018",$14.99,Toast VR PTY LTD,2.0,41,N/A
Rick and Morty: Virtual Rick-ality,"Apr 10, 2018",$29.99,Adult Swim,4.0,387,N/A
RIGS Mechanized Combat League,"Oct 13, 2016",$19.99,Sony Interactive Entertainment,4.5,1369,N/A
Rise of the Tomb Raider: 20 Year Celebration,"Oct 11, 2016",$59.99,SQUARE ENIX CO. LTD.,4.5,4046,N/A
Robinson: The Journey,"Nov 8, 2016",$29.99,Crytek,3.5,343,N/A
Rollercoaster Dreams,"Dec 20, 2016",$19.99,Bimboosoft,2.0,1033,N/A
Rollercoaster Dreams Demo,"Dec 20, 2016",Free,Bimboosoft,3.5,1405,N/A
Bandit Six: Combined Arms,"Apr 19, 2017",$12.99,Climax Studios Limited ,4.5,27,N/A
RollerCoaster Legends,"Dec 21, 2017",$4.99,War Ducks Ltd,3.5,205,N/A
RollerCoaster Legends II: Thor&aposs Hammer,"Jun 5, 2018",$5.99,War Ducks Ltd,4.0,67,N/A
Rollercoaster Tycoon Joyride,"Dec 13, 2018",$19.99,Atari Inc.,2.0,29,N/A
Rooms: The Unsolvable Puzzle,"Jun 19, 2018",$13.99,ORENDA Inc,4.5,14,N/A
Run Dorothy Run,"Feb 20, 2018",$19.99,Virtro Entertainment Inc.,4.5,6,N/A
RUSH VR,"Dec 4, 2018",$24.99,NextGen Reality Pty. Ltd t/a The Binary Mill,4.0,55,N/A
Salary Man Escape,"Jun 26, 2018",$15.99,Oasis Games Limited,3.5,14,N/A
SculptrVR,"Jun 19, 2018",$19.99,SculptrVR Inc,4.5,56,N/A
Sea of memories,"Jul 26, 2018",$9.99,Ivanovich Games SL,1.0,1,N/A
Shooty Fruity,"Jan 19, 2018",$19.99,NDREAMS LTD,4.5,154,N/A
Batman: Arkham VR,"Sep 22, 2017",$19.99,Warner Bros. Interactive,4.0,1086,N/A
Skyworld,"Mar 26, 2019",$29.99,Vertigo Games B.V,4.5,15,N/A
Smashbox Arena,"Jul 25, 2017",$9.99,Archiact Interactive Ltd,4.5,75,N/A
Smash Hit Plunder,"Dec 11, 2018",$29.99,TRIANGULAR PIXELS LTD,3.0,2,N/A
Sneaky Bears,"Aug 29, 2017",$7.99,War Ducks Ltd,4.0,44,N/A
Snow Fortress,"Dec 5, 2017",$14.99,Mythical City Games Inc.,3.5,12,N/A
Soul Dimension,"Aug 22, 2017",$4.99,Time of Virtual Reality,3.5,141,N/A
Space Junkies,"Mar 26, 2019",$39.99,Ubisoft Entertainment,3.0,15,N/A
Space Pirate Trainer,"Nov 27, 2018",$14.99,i-illusions,4.5,57,N/A
SPACE RIFT - Episode 1,"Nov 15, 2016",$19.99,bitComposer Interactive GmbH,3.0,69,N/A
Sparc,"Aug 29, 2017",$19.99,CCP Games,4.5,332,N/A
Battlezone Gold Edition,"Oct 13, 2016",$34.99,Rebellion,4.5,322,N/A
Special Delivery,"Jun 6, 2017",$9.99,Meerkat Gaming LLC,3.0,85,N/A
Sports Bar VR,"Oct 18, 2016",$19.99,Cherry Pop Games,3.5,444,N/A
Sprint Vector,"Feb 13, 2018",$29.99,"Survios, Inc.",4.5,220,N/A
Squishies,"Nov 20, 2018",$24.99,Brainseed Factory,4.5,3,N/A
Starbear: Taxi,"Nov 6, 2018",$4.99,FUNKTRONIC LABS INC.,4.5,12,N/A
StarDrone,"Jan 17, 2018",$7.99,BEATSHAPERS LTD.,4.5,8,N/A
